Episode,BotName,BotId,SharedQTable,LearningEnabled,TotalReward,CheckpointsReached,BestCheckpointIndex,TargetCheckpointIndex,CoinsCollected,BombsHit,Duration,Epsilon,EndReason,LearnedStateCount,QTableFile,NewBest,TimeSinceCheckpointProgress,LastAction,LastState
672,Bot 04,B04,True,True,542.823,15,14,0,2,1,119.658,0.250,RaceComplete,2365,q_table_v6.json,False,0.000,Brake,cp:0|dist:far|angle:hardLeft|speed:cruise|progress:fresh|bomb:False|fsm:Recover
673,Bot 02,B02,True,True,544.565,15,14,0,3,0,117.333,0.250,RaceComplete,2365,q_table_v6.json,False,0.000,HardLeft,cp:0|dist:far|angle:hardLeft|speed:cruise|progress:fresh|bomb:False|fsm:Recover
674,Bot 01,B01,True,True,545.252,15,14,0,5,0,92.023,0.250,RaceComplete,2365,q_table_v6.json,False,0.000,AccelerateForward,cp:0|dist:far|angle:hardLeft|speed:cruise|progress:fresh|bomb:False|fsm:Recover
675,Bot 03,B03,True,True,543.698,15,14,0,1,0,98.001,0.250,RaceComplete,2365,q_table_v6.json,False,0.000,HardRight,cp:0|dist:far|angle:hardLeft|speed:cruise|progress:fresh|bomb:False|fsm:Recover
676,Bot 08,B08,True,True,384.985,11,10,11,3,0,148.206,0.250,Stuck,2365,q_table_v6.json,False,45.061,RecoveryTurn,cp:11|dist:close|angle:behindLeft|speed:cruise|progress:danger|bomb:False|fsm:Racing
677,Bot 07,B07,True,True,541.810,15,14,0,3,0,86.052,0.250,RaceComplete,2365,q_table_v6.json,False,0.000,Coast,cp:0|dist:far|angle:hardLeft|speed:cruise|progress:fresh|bomb:False|fsm:Recover
678,Bot 10,B10,True,True,543.006,15,14,0,5,0,92.254,0.250,RaceComplete,2367,q_table_v6.json,False,0.000,HardLeft,cp:0|dist:far|angle:hardLeft|speed:cruise|progress:fresh|bomb:False|fsm:Recover
679,Bot 09,B09,True,True,246.127,7,6,7,1,0,90.814,0.250,Stuck,2367,q_table_v6.json,False,45.006,AccelerateForward,cp:7|dist:close|angle:behindLeft|speed:slow|progress:danger|bomb:False|fsm:Racing
680,Bot 06,B06,True,True,540.470,15,14,0,0,1,92.773,0.250,RaceComplete,2368,q_table_v6.json,False,0.000,AccelerateForward,cp:0|dist:far|angle:hardLeft|speed:cruise|progress:fresh|bomb:False|fsm:Recover
681,Bot 04,B04,True,True,539.226,15,14,0,1,0,99.996,0.250,RaceComplete,2369,q_table_v6.json,False,0.000,AccelerateForward,cp:0|dist:far|angle:hardLeft|speed:cruise|progress:fresh|bomb:False|fsm:Recover
682,Bot 05,B05,True,True,529.827,15,14,0,1,1,147.211,0.250,RaceComplete,2370,q_table_v6.json,False,0.000,HardLeft,cp:0|dist:far|angle:hardLeft|speed:cruise|progress:fresh|bomb:False|fsm:Recover
683,Bot 08,B08,True,True,543.500,15,14,0,1,0,87.048,0.250,RaceComplete,2370,q_table_v6.json,False,0.000,Brake,cp:0|dist:far|angle:hardLeft|speed:cruise|progress:fresh|bomb:False|fsm:Recover
684,Bot 10,B10,True,True,95.718,3,2,3,0,0,55.433,0.250,Stuck,2370,q_table_v6.json,False,45.060,Brake,cp:3|dist:far|angle:behindLeft|speed:cruise|progress:danger|bomb:False|fsm:Recover
685,Bot 01,B01,True,True,427.366,12,11,12,4,0,108.043,0.250,Stuck,2370,q_table_v6.json,False,45.059,AccelerateForward,cp:12|dist:medium|angle:hardRight|speed:cruise|progress:danger|bomb:False|fsm:Recover
686,Bot 02,B02,True,True,542.010,15,14,0,4,0,114.601,0.250,RaceComplete,2370,q_table_v6.json,False,0.000,AccelerateForward,cp:0|dist:far|angle:hardLeft|speed:cruise|progress:fresh|bomb:False|fsm:Recover
687,Bot 07,B07,True,True,542.234,15,14,0,2,0,89.950,0.250,RaceComplete,2371,q_table_v6.json,False,0.000,HardLeft,cp:0|dist:far|angle:hardLeft|speed:cruise|progress:fresh|bomb:False|fsm:Recover
688,Bot 03,B03,True,True,542.838,15,14,0,6,0,114.686,0.250,RaceComplete,2371,q_table_v6.json,False,0.000,AccelerateForward,cp:0|dist:far|angle:hardLeft|speed:cruise|progress:fresh|bomb:False|fsm:Recover
689,Bot 09,B09,True,True,544.585,15,14,0,2,0,99.052,0.250,RaceComplete,2371,q_table_v6.json,False,0.000,AccelerateForward,cp:0|dist:far|angle:hardLeft|speed:cruise|progress:fresh|bomb:False|fsm:Recover
690,Bot 06,B06,True,True,543.214,15,14,0,4,0,104.892,0.250,RaceComplete,2371,q_table_v6.json,False,0.000,AccelerateForward,cp:0|dist:far|angle:hardLeft|speed:cruise|progress:fresh|bomb:False|fsm:Recover
691,Bot 07,B07,True,True,137.283,4,3,4,1,0,61.076,0.250,Stuck,2373,q_table_v6.json,False,45.056,TurnLeftAndAccelerate,cp:4|dist:medium|angle:hardRight|speed:slow|progress:danger|bomb:False|fsm:Recover
692,Bot 05,B05,True,True,542.806,15,14,0,0,0,90.035,0.250,RaceComplete,2373,q_table_v6.json,False,0.000,AccelerateForward,cp:0|dist:far|angle:hardLeft|speed:cruise|progress:fresh|bomb:False|fsm:Recover
693,Bot 01,B01,True,True,241.791,7,6,7,0,1,80.579,0.250,Stuck,2373,q_table_v6.json,False,45.038,TurnRightAndAccelerate,cp:7|dist:close|angle:left|speed:slow|progress:danger|bomb:False|fsm:Racing
694,Bot 10,B10,True,True,542.776,15,14,0,5,0,87.214,0.250,RaceComplete,2373,q_table_v6.json,False,0.000,AccelerateForward,cp:0|dist:far|angle:hardLeft|speed:cruise|progress:fresh|bomb:False|fsm:Recover
695,Bot 02,B02,True,True,542.840,15,14,0,0,0,81.320,0.250,RaceComplete,2373,q_table_v6.json,False,0.000,AccelerateForward,cp:0|dist:far|angle:hardLeft|speed:cruise|progress:fresh|bomb:False|fsm:Recover
696,Bot 08,B08,True,True,543.513,15,14,0,1,0,97.836,0.250,RaceComplete,2373,q_table_v6.json,False,0.000,AccelerateForward,cp:0|dist:far|angle:hardLeft|speed:cruise|progress:fresh|bomb:False|fsm:Recover
697,Bot 03,B03,True,True,244.171,7,6,7,0,0,75.343,0.250,Stuck,2373,q_table_v6.json,False,45.055,TurnLeftAndAccelerate,cp:7|dist:close|angle:left|speed:cruise|progress:danger|bomb:False|fsm:Racing
698,Bot 09,B09,True,True,95.688,3,2,3,0,0,56.605,0.250,Stuck,2373,q_table_v6.json,False,45.074,AccelerateForward,cp:3|dist:close|angle:behindLeft|speed:cruise|progress:danger|bomb:False|fsm:Racing
699,Bot 04,B04,True,True,541.439,15,14,0,3,1,161.814,0.250,RaceComplete,2378,q_table_v6.json,False,0.000,AccelerateForward,cp:0|dist:far|angle:hardLeft|speed:cruise|progress:fresh|bomb:False|fsm:Recover
700,Bot 10,B10,True,True,136.339,4,3,4,0,0,58.753,0.250,Stuck,2378,q_table_v6.json,False,45.008,HardRight,cp:4|dist:medium|angle:right|speed:slow|progress:danger|bomb:False|fsm:Recover
