Episode,TotalReward,CheckpointsReached,BestCheckpointIndex,CoinsCollected,BombsHit,Duration,Epsilon,EndReason,LearnedStateCount,QTableFile,NewBest
327,64.323,2,1,0,0,25.308,0.250,Stuck,200,q_table_v4.json,False
328,66.197,2,1,0,0,26.301,0.250,Stuck,200,q_table_v4.json,False
329,69.625,2,1,0,0,25.312,0.250,Stuck,200,q_table_v4.json,False
330,74.008,2,1,0,0,25.229,0.250,Stuck,200,q_table_v4.json,False
331,67.289,2,1,0,0,27.134,0.250,Stuck,200,q_table_v4.json,False
332,99.973,3,2,2,0,33.442,0.250,Stuck,200,q_table_v4.json,False
333,106.952,3,2,0,0,33.441,0.250,Stuck,200,q_table_v4.json,False
334,63.729,2,1,0,0,25.235,0.250,Stuck,200,q_table_v4.json,False
335,67.155,2,1,0,0,25.304,0.250,Stuck,200,q_table_v4.json,False
336,69.248,2,1,0,0,25.971,0.250,Stuck,200,q_table_v4.json,False
337,61.974,2,1,0,1,25.228,0.250,Stuck,201,q_table_v4.json,False
338,67.519,2,1,0,0,27.136,0.250,Stuck,201,q_table_v4.json,False
339,67.061,2,1,0,0,26.388,0.250,Stuck,201,q_table_v4.json,False
340,70.063,2,1,0,0,25.389,0.250,Stuck,201,q_table_v4.json,False
