Episode,BotName,BotId,SharedQTable,LearningEnabled,TotalReward,CheckpointsReached,BestCheckpointIndex,TargetCheckpointIndex,CoinsCollected,BombsHit,Duration,Epsilon,EndReason,LearnedStateCount,QTableFile,NewBest,TimeSinceCheckpointProgress,LastAction,LastState
103,Bot 07,B07,TRUE,FALSE,425.704,11,10,11,2,0,94.432,0.1,Stuck,2573,q_table_v7_best.json,FALSE,45.06,AccelerateForward,cp:11|dist:far|angle:behindLeft|speed:max|progress:danger|bomb:False|fsm:Recover
104,Bot 05,B05,TRUE,FALSE,392.383,11,10,11,0,1,101.241,0.1,Stuck,2573,q_table_v7_best.json,FALSE,45.06,TurnLeftAndAccelerate,cp:11|dist:far|angle:behindRight|speed:cruise|progress:danger|bomb:False|fsm:Recover
105,Bot 01,B01,TRUE,FALSE,545.405,15,14,15,0,0,90.369,0.1,RaceComplete,2573,q_table_v7_best.json,FALSE,6.139,Coast,cp:finish|dist:close|angle:hardLeft|speed:cruise|progress:fresh|bomb:False|fsm:Racing
106,Bot 03,B03,TRUE,FALSE,543.219,15,14,15,0,0,90.786,0.1,RaceComplete,2573,q_table_v7_best.json,FALSE,9.38,Coast,cp:finish|dist:close|angle:forward|speed:cruise|progress:fresh|bomb:False|fsm:Racing
107,Bot 09,B09,TRUE,FALSE,98.283,3,2,3,0,0,59.086,0.1,Stuck,2576,q_table_v7_best.json,FALSE,45.06,AccelerateForward,cp:3|dist:close|angle:hardRight|speed:fast|progress:danger|bomb:False|fsm:Recover
108,Bot 08,B08,TRUE,FALSE,549.932,15,14,15,2,0,104.639,0.1,RaceComplete,2577,q_table_v7_best.json,FALSE,9.209,Coast,cp:finish|dist:close|angle:forward|speed:cruise|progress:fresh|bomb:False|fsm:Racing
109,Bot 04,B04,TRUE,FALSE,540.836,15,14,15,1,2,109.206,0.1,RaceComplete,2579,q_table_v7_best.json,FALSE,7.219,Coast,cp:finish|dist:close|angle:left|speed:cruise|progress:fresh|bomb:False|fsm:Racing
110,Bot 10,B10,TRUE,FALSE,422.092,12,11,12,7,0,101.071,0.1,Stuck,2582,q_table_v7_best.json,FALSE,45.057,RecoveryTurn,cp:12|dist:close|angle:forward|speed:slow|progress:danger|bomb:False|fsm:Racing
111,Bot 06,B06,TRUE,FALSE,389.198,11,10,11,5,2,107.878,0.1,Stuck,2582,q_table_v7_best.json,FALSE,45.061,TurnLeftAndAccelerate,cp:11|dist:far|angle:behindRight|speed:cruise|progress:danger|bomb:False|fsm:Recover
112,Bot 02,B02,TRUE,FALSE,431.38,12,11,12,3,1,129.368,0.1,Stuck,2585,q_table_v7_best.json,FALSE,45.059,HardRight,cp:12|dist:close|angle:forward|speed:slow|progress:danger|bomb:False|fsm:Racing
113,Bot 01,B01,TRUE,FALSE,177.496,5,4,5,0,1,68.545,0.1,Stuck,2589,q_table_v7_best.json,FALSE,45.061,AccelerateForward,cp:5|dist:far|angle:forward|speed:max|progress:danger|bomb:False|fsm:Recover
